COLOR WI,COLOR YI,ODOR LVL,VOLATILE,Antiblock Type,,AO2 Type,,AO1,AO2/AO1 Ratio,Acid Scavenger,Slip Agent,Gels Performance,,,,
,,,,,,,,,,,,FE-S,FE-M,FE-L,Defect Area,Judgement
,,,,Silton,AB-GASIL,IRG-168,W399,Ir-1076,,ZNST,errucamide,,,,,
53.550,-4.450,2.000,0.011,0.000,0.177,0.091,0.000,0.049,1.857,0.049,0.113,4.700,0.400,0.000,1.530,Non Low Gel
53.980,-4.210,2.000,0.023,0.000,0.184,0.090,0.000,0.051,1.765,0.051,0.109,1.200,0.200,0.000,0.590,Low Gel
52.470,-4.270,2.000,0.027,0.000,0.185,0.091,0.000,0.050,1.820,0.050,0.102,2.900,0.800,0.000,2.040,Non Low Gel
54.090,-5.080,2.000,0.011,0.000,0.188,0.099,0.000,0.052,1.904,0.052,0.114,1.500,0.300,0.000,0.760,Low Gel
54.870,-5.080,2.000,0.011,0.000,0.187,0.099,0.000,0.053,1.868,0.053,0.104,1.600,0.400,0.000,0.970,Non Low Gel
55.220,-4.880,2.000,0.013,0.000,0.192,0.107,0.000,0.058,1.845,0.058,0.113,1.800,0.200,0.000,0.650,Low Gel
54.860,-4.720,2.000,0.029,0.000,0.210,0.109,0.000,0.056,1.946,0.056,0.109,1.700,0.200,0.000,0.640,Low Gel
54.390,-4.890,2.000,0.018,0.000,0.187,0.100,0.000,0.051,1.961,0.051,0.110,1.900,0.400,0.000,1.100,Non Low Gel
54.980,-4.840,2.000,0.005,0.000,0.201,0.100,0.000,0.052,1.923,0.052,0.118,2.700,0.300,0.000,1.120,Low Gel
53.930,-4.710,2.000,0.009,0.000,0.185,0.099,0.000,0.047,2.106,0.047,0.113,1.400,0.300,0.000,0.710,Low Gel
54.440,-5.130,2.000,0.007,0.000,0.181,0.099,0.000,0.049,2.020,0.049,0.120,4.900,1.300,0.000,3.230,Non Low Gel
55.180,-4.990,2.000,0.008,0.000,0.179,0.098,0.000,0.049,2.000,0.049,0.116,1.500,0.300,0.000,0.780,Low Gel
54.850,-4.960,2.000,0.020,0.000,0.175,0.098,0.000,0.047,2.085,0.047,0.113,1.100,0.200,0.000,0.530,Low Gel
53.900,-4.800,2.000,0.027,0.000,0.180,0.097,0.000,0.048,2.021,0.048,0.103,1.600,0.200,0.000,0.710,Low Gel
54.090,-4.900,2.000,0.014,0.000,0.178,0.096,0.000,0.047,2.043,0.047,0.116,3.000,0.400,0.000,1.390,Non Low Gel
54.170,-4.710,2.000,0.013,0.000,0.175,0.095,0.000,0.045,2.111,0.045,0.117,2.100,0.200,0.000,1.390,Low Gel
54.830,-5.120,2.000,0.008,0.000,0.181,0.097,0.000,0.057,1.702,0.057,0.109,1.400,0.300,0.000,0.000,Low Gel
54.240,-4.660,2.000,0.009,0.000,0.183,0.097,0.000,0.055,1.764,0.055,0.115,1.500,0.200,0.000,0.640,Low Gel
54.350,-4.890,2.000,0.007,0.000,0.190,0.098,0.000,0.057,1.719,0.057,0.114,1.600,0.400,0.000,1.100,Non Low Gel
53.300,-4.970,2.000,0.020,0.000,0.182,0.097,0.000,0.049,1.980,0.049,0.119,3.200,0.400,0.000,1.170,Non Low Gel
55.590,-4.690,2.000,0.025,0.000,0.186,0.097,0.000,0.048,2.021,0.048,0.098,8.200,0.700,0.000,2.800,Non Low Gel
55.340,-5.070,2.000,0.007,0.000,0.180,0.100,0.000,0.048,2.083,0.048,0.112,1.900,0.300,0.000,0.990,Low Gel
